EntryID,LemmaID,Code,YouTube Video,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Transparency M,Transparency SD,Transparency Z,H index,SignBankID,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,Parameter.Neighborhood.Density.2.0.1,Neighborhood Density 2.0.1,DominantTranslation,SignBankID.1,Neighborhood Density
blow_candle_2,blow_candle_2,K_02_022,,3.609,1.971,-0.464,25,0,2.222,1.202,-0.931,11,0.18,,,5.958,1.601,1.119,24,BLOW OUT CANDLE,,Verb,634,1201,567,1869,,,,,,,,,,0,0,0,1,1,0,i,FullyOpen,0,,,Closed,0,OneHanded,None,Neutral,Neutral,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,0,416,712,1051,2010,1509,1030,0,0,1756,934,2276,,,,,,11,19,11,19,,,10
blow_mind,blow_mind,F_02_045,,3.577,2.003,-0.384,27,0,3.714,2.4,-0.294,14,0,1,1,5.645,1.817,0.464,31,MIND BLOWN/ MENTALLY EXHAUSTED,,Verb,501,1335,834,2069,,,,,,,,,,0,0,1,2,1,0,i,FullyOpen,0,,,Closed,0,OneHanded,None,Head,Forehead,,1,,0,s,0,imrp,FullyClosed,1,,1,Closed,1,SymmetricalOrAlternating,Straight,Head,HeadAway,HeadAway,1,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,725,107,0,416,712,1051,2010,1509,1694,0,0,1756,934,2276,,,,,"BLOW-MIND	",62,49,62,49,blow_mind,"BLOW-MIND	",45
blue,blue,C_02_062,,4.63,1.548,0.184,27,0,5.2,1.373,0.427,15,0.06,,,1.074,2.025,-0.814,27,,3.718,Adjective,434,801,367,1535,1.35,0.86,30,-0.83,1.35,0.93,21,-0.88,Arbitrary,1,0,0,1,closed_b,0,imrp,FullyOpen,0,0,0,Closed,0,OneHanded,None,Neutral,Neutral,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,1068,989,990,0,416,1222,1051,2010,1215,1030,839,1391,1756,934,448,3,2,-1,-0.18,BLUE,2,1,2,1,,BLUE,2
blur,blur,J_03_088,,3.643,1.789,-0.325,29,0,3.733,1.981,-0.283,15,0,,,2.174,1.435,-0.338,23,,2.041,Verb,734,1502,767,2069,,,,,,,,,Arbitrary,0,0,0,1,flat_b,1,imrp,Flat,0,0,1,Closed,0,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,flat_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,634,1222,415,2010,1509,1694,839,194,1756,934,2276,,,,,BLUR,10,0,10,0,,BLUR,0
blush,blush,J_03_100,,2.81,1.721,-0.855,29,0,3.6,2.066,-0.385,15,0.33,,,3.609,1.53,0.452,23,,2.137,Verb,734,1602,868,2135,,,,,,,,,Arbitrary,0,0,0,1,s,0,i,FullyClosed,1,,,Open,1,SymmetricalOrAlternating,None,Head,Chin,,1,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,725,101,0,416,712,173,532,1509,1694,0,0,812,1790,2276,,,,,BLUSH,9,0,9,0,,BLUSH,0
board,board,J_01_105,,4.5,1.592,0.227,30,0,4.333,1.718,0.033,15,0,,,1.25,0.897,-0.932,24,board (of an organization),3.515,Noun,534,1335,801,1802,,,,,,,,,Arbitrary,1,0,0,1,closed_b,0,imrp,FullyOpen,0,0,0,Closed,0,OneHanded,Curved,Body,Clavicle,Clavicle,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,256,46,18,634,1222,1051,2010,1509,1694,839,1391,1756,934,2276,,,,,BOARDb,2,0,2,0,,BOARDb,0
boat,boat,D_01_055,,3.704,1.409,-0.248,27,0,3.875,1.258,-0.182,16,0,,,2.314,2.025,-0.309,35,,3.689,Noun,567,1869,1301,2603,5.39,1.47,26,1.18,5.06,1.51,18,1.06,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,Curved,Neutral,Neutral,,1,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,939,989,990,0,634,1222,1051,2010,1215,1694,839,1391,1756,1790,2276,,,,,BOAT,25,18,25,18,,BOAT,7
body,body,B_01_047,,4.84,1.344,0.092,25,0,4.643,1.336,-0.011,14,0,,,5.556,2.016,1.323,27,,3.999,Noun,367,934,567,1468,3.71,1.87,31,0.43,3.59,1.56,22,0.39,Pantomimic,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,Straight,Body,Clavicle,Hips,1,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,256,46,9,1245,1222,1051,2010,1509,1694,839,1391,1756,1790,2276,4,2,0,-0.17,BODY,12,6,12,6,,BODY,0
boil_1,boil,G_03_101,,4.308,1.49,0.083,27,0,4.273,1.191,0.146,12,0.08,,,3.2,1.399,-0.265,20,,2.483,Verb,534,1702,1168,2236,,,,,,,,,Arbitrary,0,0,0,1,5,0,imrp,FullyOpen,0,1,0,Open,0,SymmetricalOrAlternating,Circular,Neutral,Neutral,Neutral,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,208,1222,1051,2010,1215,1030,554,1391,1756,1790,2276,,,,,,5,11,5,11,,,18
boil_2,boil_2,K_03_054,,2.955,1.759,-0.803,25,0,1.667,1,-1.246,11,0.18,1,1,3.269,1.909,-0.362,26,BOIL,2.483,Verb,534,2336,1802,2936,,,,,,,,,,0,0,0,1,stacked_5,1,imrp,Stacked,1,,1,Open,1,AsymmetricalDifferentHandshape,Circular,Hand,Other,Other,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,682,67,20,208,1222,65,532,1215,1694,0,194,812,1790,2276,,,,,,0,0,0,0,boil_2,,0
boiling_mad,boiling_mad,H_02_025,,4.321,1.565,0.139,28,0,4.5,1.557,0.237,14,0,1,1,2.696,1.717,-0.324,23,boiling mad,,Adjective,667,1702,1034,2202,,,,,,,,,Arbitrary,0,0,0,1,flatspread_5,1,imrp,Flat,1,1,0,Open,0,AsymmetricalDifferentHandshape,None,Body,TorsoBottom,,0,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,256,7,0,416,1222,415,532,1215,1030,554,1391,1756,1790,2276,,,,,BOILING-MAD,0,1,0,1,boiling_mad,BOILING-MAD,0
bolt,bolt,F_01_089,,1.25,0.463,-1.757,27,1,1,0,-2.088,14,0.86,,,3.129,1.477,-0.259,31,TO BOLT,2.547,Verb,334,1268,934,1969,,,,,,,,,Arbitrary,0,0,0,1,flat_h,1,im,Flat,0,0,0,Closed,0,OneHanded,Straight,Neutral,Neutral,Neutral,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,818,1245,381,415,2010,1215,1030,839,1391,1756,934,448,,,,,BOLT,2,0,2,0,,BOLT,0
bomb,bomb,F_02_055,,2.87,1.325,-0.856,27,0,3.077,1.605,-0.728,14,0.07,,,3.968,1.779,0,31,,3.437,Noun,501,1201,701,1935,,,,,,,,,Arbitrary,0,0,0,1,closed_b,0,imrp,FullyOpen,1,0,0,Closed,1,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,closed_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,1245,1222,1051,532,1509,1694,839,1391,812,934,2276,,,,,EXPLODE,8,0,8,0,,EXPLODE,0
bone,bone,C_03_015,,3.167,1.315,-0.673,30,0,3.5,1.383,-0.578,18,0,1,1,2.467,1.821,-0.521,30,,3.124,Noun,400,1001,601,1768,2.27,1.31,30,-0.32,2.29,1.31,21,-0.36,Arbitrary,0,0,0,1,bent_v,1,im,Bent,0,1,0,Closed,0,SymmetricalOrAlternating,Straight,Neutral,Neutral,,1,bent_v,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,0,1245,381,253,2010,1215,1694,554,1391,1756,934,2276,2,2,-1,-0.15,BONE,10,5,10,5,bone,BONE,4
book,book,A_01_027,,6.677,0.832,1.408,31,0,6.833,0.383,1.499,18,0,,,6.41,1.2,0.689,83,,3.956,Noun,400,901,501,1268,5.63,1.67,31,1.22,5.33,1.94,19,1.13,Perceptual,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,open_b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,939,989,990,818,634,1222,1051,2010,1215,1694,839,1391,1756,1790,448,,,,,BOOK,25,8,25,8,,BOOK,12
boots,boots,C_03_019,,2.933,1.413,-0.853,30,0,2.778,1.353,-0.994,18,0,1,1,1.371,2.075,-0.763,35,,2.99,Noun,567,1368,801,2469,2.72,2,30,-0.15,3.15,2.18,21,0.01,Arbitrary,0,0,0,1,closed_b,0,imrp,FullyOpen,0,0,0,Closed,0,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,closed_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,28,939,989,990,818,1245,1222,1051,2010,1215,1694,839,1391,1756,934,2276,,,,,BOOTbb,8,5,8,5,boots,BOOTbb,6
boots_2,boots_2,K_03_101,,2.789,1.437,-1.174,25,0,2.444,1.333,-0.995,11,0.18,,,1.192,0.694,-1.362,26,BOOTS,2.99,Noun,467,1768,1301,2336,,,,,,,,,,0,0,1,2,s,0,imrp,FullyClosed,0,,0,Closed,1,SymmetricalOrAlternating,Straight,Neutral,Neutral,,1,s,0,open_b,1,imrp,FullyOpen,0,0,0,Open,0,OneHanded,Straight,Arm,ForearmBack,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,0,1245,1222,173,2010,1509,1694,0,1391,812,934,2276,,,,,,38,17,38,17,,,9
bored,bored,B_01_017,,5.8,1.08,0.673,25,0,5.786,1.051,0.66,14,0,,,1.37,2.016,-0.732,27,,3.013,Adjective,400,601,200,1201,1.68,1.11,31,-0.63,1.68,1.13,22,-0.6,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0,,,Closed,0,OneHanded,Straight,Head,CheekNose,HeadAway,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,725,96,342,1245,712,1051,2010,1509,1694,0,0,1756,934,448,4,2,0,-0.19,BORING,31,1,31,1,,BORING,3
bored_2,bored_2,K_03_122,,4.458,2.206,0.039,25,0,3.4,1.897,-0.348,11,0.09,,,2.462,2.005,-0.77,26,BORED,3.013,Adjective,634,1869,1235,2436,,,,,,,,,,0,0,0,1,flat_1,0,i,Flat,1,,,Closed,0,AsymmetricalSameHandshape,None,Head,Mouth,HeadAway,1,flat_1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,725,126,342,416,712,415,532,1215,1694,0,0,1756,934,2276,,,,,,2,0,2,0,,,0
borrow,borrow,B_03_055,,4.96,1.338,0.202,25,0,5.214,1.369,0.351,14,0,,,1.433,1.948,-0.682,30,,3.175,Verb,434,801,367,1668,1.97,1.4,31,-0.48,1.91,1.38,22,-0.48,Arbitrary,0,0,0,1,p,1,im,Stacked,0,,0,Open,1,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,634,381,65,2010,1509,1694,0,1391,812,1790,448,3,2,0,-0.17,BORROW,5,2,5,2,,BORROW,2
boss,boss,B_02_052,,5.24,1.332,0.375,25,0,5.071,1.439,0.24,14,0,1,1,1.8,2.045,-0.443,30,,3.802,Noun,400,767,367,1401,1.9,1.14,31,-0.51,2,1.23,22,-0.42,Arbitrary,0,0,0,1,curved_5,0,imrp,Curved,0,1,0,Open,0,OneHanded,Straight,Body,Shoulder,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,256,22,0,1245,1222,579,2010,1215,1694,554,1391,1756,1790,2276,4,2,0,-0.17,BOSS,5,4,5,4,boss,BOSS,3
boston,boston,J_03_001,,4.345,1.758,0.093,29,0,4.667,1.447,0.226,15,0,,,1.391,0.941,-0.705,23,,3.088,Name,400,1568,1168,2002,,,,,,,,,Arbitrary,1,0,0,1,closed_b,0,imrp,FullyOpen,0,0,0,Closed,0,OneHanded,Straight,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,818,1245,1222,1051,2010,1215,1030,839,1391,1756,934,2276,,,,,BOSTON,8,5,8,5,,BOSTON,7
both,both,H_01_076,,5.815,1.075,1.059,28,0,6.071,1.072,1.191,14,0,,,2.4,1.667,-0.558,20,,4.178,Minor,534,1235,701,1668,,,,,,,,,Arbitrary,1,0,0,1,v,1,im,FullyOpen,0,1,1,Closed,0,AsymmetricalDifferentHandshape,Straight,Hand,Palm,HandAway,1,C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,682,210,298,1245,381,1051,2010,1509,1694,554,194,1756,934,2276,,,,,BOTH,14,0,14,0,,BOTH,0
bother,bother,H_01_040,,5.071,1.245,0.551,28,0,5.357,1.277,0.731,14,0,,,2,1.947,-0.722,20,,3.536,Verb,434,1235,801,1768,,,,,,,,,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,,0,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,682,94,0,1245,1222,1051,2010,1215,1030,839,1391,1756,1790,2276,,,,,BOTHER,28,3,28,3,,BOTHER,2
bottle,bottle,D_02_064,,3.846,1.759,-0.184,26,0,4.063,1.769,-0.09,16,0.06,,,4.258,2.166,0.603,31,,3.413,Noun,601,1668,1068,2536,5.08,1.72,26,0.99,5,1.78,18,1,Perceptual,0,0,0,1,o,0,imrp,Curved,1,0,0,Open,1,AsymmetricalDifferentHandshape,Straight,Hand,Palm,HandAway,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,31,476,682,210,298,1245,1222,579,532,1509,1694,839,1391,812,1790,2276,,,,,BOTTLE,8,2,8,2,,BOTTLE,0
bottom,bottom,F_01_066,,1.643,1.008,-1.62,27,0,1.5,1.225,-1.721,14,0.57,,,3.226,1.586,-0.213,31,,3.406,Noun,434,1235,801,1668,,,,,,,,,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,1,0,0,Open,0,OneHanded,None,Neutral,Neutral,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,0,416,1222,1051,532,1215,1030,839,1391,1756,1790,2276,,,,,BOTTOM,5,5,5,5,,BOTTOM,3
bounce,bounce,H_03_057,,2.36,1.604,-1.092,28,0,2.75,1.865,-0.848,14,0.14,,,6,1.383,1.276,24,bounce,2.702,Verb,400,1802,1401,2169,,,,,,,,,Pantomimic,0,0,0,1,flatspread_5,1,imrp,Flat,0,1,0,Open,0,OneHanded,Straight,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,818,1245,1222,415,2010,1215,1030,554,1391,1756,1790,2276,,,,,,8,8,8,8,,,9
bow_1,bow_1,F_03_065,,2.593,1.947,-0.909,27,0,2.357,1.865,-1.053,14,0,,,4.656,1.945,0.109,32,HAIR BOW,3.015,Noun,434,1602,1168,2202,,,,,,,,,,0,0,0,1,s,0,im,FullyClosed,1,,1,Closed,1,SymmetricalOrAlternating,None,Head,HeadTop,,1,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,725,12,0,416,381,173,532,1509,1694,0,194,812,934,2276,,,,,,9,0,9,0,,,0
bow_2,bow_2,G_02_063,,2.375,2.039,-0.983,27,0,2.727,2.284,-0.826,12,0.08,,,4.419,1.876,0.29,31,BOW (i.e. and arrows),3.015,Noun,434,834,400,1735,,,,,,,,,,0,0,0,1,1,0,m,Curved,1,,,Open,1,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,1245,123,579,532,1509,1694,0,0,812,1790,2276,,,,,BOW-AND-ARROW8,37,3,37,3,,BOW-AND-ARROW8,4
bow_3,bow_3,F_01_060,,2.481,1.673,-0.958,27,0,2.643,2.061,-0.859,14,0,,,3.061,1.968,-0.215,33,BOW,3.015,Verb,534,1401,868,2002,,,,,,,,,Arbitrary,0,0,0,1,s,0,imrp,FullyClosed,0,,0,Closed,1,AsymmetricalDifferentHandshape,Curved,Hand,Neutral,Neutral,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,682,990,818,634,1222,173,2010,1509,1030,0,1391,812,934,2276,,,,,,10,0,10,0,,,0
bow_4,bow_4,K_02_016,,2.857,1.982,-0.967,25,0,1.9,0.994,-1.013,11,0.09,,,6.833,0.637,1.522,24,BOW,3.015,Verb,567,2135,1568,2603,,,,,,,,,,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,OneHanded,None,Body,TorsoBottom,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,256,7,0,416,1222,1051,2010,1509,1694,839,1391,1756,1790,2276,,,,,,2,0,2,0,,,0
bowl,bowl,C_03_049,,4.933,1.596,0.297,30,0,5.333,1.414,0.45,18,0,,,4.056,2.075,0.515,36,,3.039,Noun,567,968,400,1969,6.1,1.27,30,1.72,6.1,1.38,21,1.65,Perceptual,0,0,0,1,c,0,imrp,Curved,0,0,0,Open,0,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,0,c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,28,939,989,990,818,634,1222,579,2010,1509,1030,839,1391,1756,1790,448,4,2,0,-0.19,BOWL,12,7,12,7,,BOWL,7
bowling,bowling,A_02_003,,2.346,1.384,-0.865,26,0,2.308,1.601,-0.856,13,0,,,2.6,2.074,-0.259,30,,2.737,Noun,300,1001,701,1268,3.87,1.65,31,0.25,3.84,1.54,19,0.27,Arbitrary,0,0,0,1,curved_5,0,imrp,Curved,0,1,0,Open,0,OneHanded,Curved,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,36,1068,989,990,818,634,1222,579,2010,1215,1030,554,1391,1756,1790,2276,,,,,BOWLINGpro,17,4,17,4,,BOWLINGpro,7
bowling_2,bowling_2,K_01_067,,4.074,1.73,0.036,27,0,3.636,1.433,0.093,11,0,,,5.8,1.041,1.046,25,BOWLING,2.737,Verb,534,2536,2002,2069,,,,,,,,,,0,0,0,1,c,0,imrp,Curved,0,0,0,Open,0,OneHanded,Curved,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,989,990,818,634,1222,579,2010,1509,1030,839,1391,1756,1790,2276,,,,,,12,14,12,14,,,15
bowtie,bowtie,A_01_044,,1.903,1.399,-1.095,31,0,1.778,1.215,-1.107,18,0,,,5.077,2.048,0.935,39,,0.845,Noun,434,1001,567,1068,5.42,1.82,31,1.06,5.53,1.93,19,1.14,,0,0,0,1,s,0,im,FullyClosed,1,,0,Closed,1,SymmetricalOrAlternating,None,Body,TorsoTop,,1,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,256,87,0,416,381,173,532,1509,1694,0,1391,812,934,2276,,,,,BOWTIE,0,0,0,0,,BOWTIE,0
box,box,C_03_025,,4.833,1.464,0.253,30,0,4.944,1.434,0.231,18,0,,,4.889,2.075,0.918,36,,3.661,Noun,634,1235,601,2069,5.7,1.42,30,1.52,5.86,1.28,21,1.56,Perceptual,0,0,1,2,open_b,1,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,None,Neutral,Neutral,,0,open_b,0,flat_b,1,imrp,Flat,0,0,0,Open,0,SymmetricalOrAlternating,None,Neutral,Neutral,,0,flat_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,23,939,989,990,0,416,1222,1051,2010,1509,1030,839,1391,1756,1790,2276,4,1,0,-0.25,BOX,5,13,5,13,,BOX,1
