Code,MajorLocation,SignType,Movement,ThumbPosition
B_03_013,Head,SymmetricalOrAlternating,Straight,Open
J_01_015,Neutral,SymmetricalOrAlternating,Straight,Open
H_02_44,Neutral,AsymmetricalDifferentHandshape,Straight,Open
G_02_12,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_01_23,Body,OneHanded,Straight,Open
C_01_061,Neutral,SymmetricalOrAlternating,Straight,Closed
A_01_054,Neutral,SymmetricalOrAlternating,Circular,Open
C_01_073,Head,OneHanded,None,Closed
A_03_086,Head,OneHanded,Curved,Open
G_02_47,Body,SymmetricalOrAlternating,Straight,Open
K_01_060,Neutral,SymmetricalOrAlternating,Curved,Closed
K_02_091,Neutral,OneHanded,Curved,Open
K_03_057,Neutral,OneHanded,Curved,Open
E_02_5,Hand,AsymmetricalSameHandshape,Straight,Open
D_02_035,Neutral,SymmetricalOrAlternating,Straight,Open
G_02_22,Head,OneHanded,Straight,Open
J_02_084,Neutral,SymmetricalOrAlternating,Straight,Closed
J_01_110,Head,OneHanded,None,Open
J_02_067,Head,OneHanded,None,Closed
B_02_022,Neutral,SymmetricalOrAlternating,Straight,Open
E_03_60,Neutral,SymmetricalOrAlternating,None,Open
J_01_101,Head,OneHanded,Curved,Open
D_03_022,Neutral,SymmetricalOrAlternating,Straight,Open
E_02_74,Head,OneHanded,BackAndForth,Open
D_03_032,Neutral,SymmetricalOrAlternating,Curved,Open
G_01_48,Hand,AsymmetricalDifferentHandshape,Curved,Closed
H_03_13,Neutral,SymmetricalOrAlternating,Curved,Open
D_03_078,Hand,AsymmetricalSameHandshape,Other,Open
B_03_008,Hand,SymmetryViolation,None,Open
F_01_14,Body,OneHanded,None,Open
G_03_45,Head,SymmetricalOrAlternating,None,Open
H_03_99,Head,OneHanded,None,Open
H_03_32,Head,OneHanded,None,Open
J_01_004,Head,SymmetricalOrAlternating,None,Open
E_01_10,Neutral,SymmetricalOrAlternating,Straight,Open
D_01_064,Hand,AsymmetricalDifferentHandshape,Straight,Open
D_01_053,Hand,AsymmetricalSameHandshape,Straight,Closed
K_01_085,Hand,AsymmetricalDifferentHandshape,Straight,Closed
A_02_084,Head,OneHanded,Straight,Closed
C_02_026,Head,SymmetricalOrAlternating,None,Open
K_02_078,Head,SymmetricalOrAlternating,None,Closed
J_03_071,Neutral,SymmetricalOrAlternating,Straight,Open
J_02_040,Hand,AsymmetricalDifferentHandshape,X-shaped,Closed
E_03_20,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_02_13,Neutral,SymmetricalOrAlternating,Straight,Open
C_02_071,Body,OneHanded,Straight,Closed
B_01_005,Hand,AsymmetricalDifferentHandshape,Straight,Open
G_02_54,Hand,AsymmetricalDifferentHandshape,Straight,Open
C_03_058,Arm,OneHanded,Circular,Open
C_01_023,Head,OneHanded,None,Open
C_03_038,Hand,AsymmetricalSameHandshape,Curved,Open
A_01_033,Head,OneHanded,None,Open
F_01_18,Body,SymmetricalOrAlternating,Circular,Open
F_03_67,Hand,AsymmetricalSameHandshape,BackAndForth,Open
C_01_081,Arm,OneHanded,Straight,Open
K_03_093,Arm,OneHanded,Straight,Open
H_02_104,Head,OneHanded,None,Open
J_02_017,Hand,AsymmetricalDifferentHandshape,Straight,Open
K_01_034,Hand,AsymmetricalDifferentHandshape,Straight,Open
D_01_068,Hand,AsymmetricalDifferentHandshape,Straight,Closed
K_02_088,Neutral,SymmetricalOrAlternating,Curved,Open
D_03_040,Head,OneHanded,None,Closed
F_02_10,Hand,AsymmetricalDifferentHandshape,Curved,Open
K_01_046,Hand,AsymmetricalDifferentHandshape,Straight,Open
D_03_076,Neutral,SymmetricalOrAlternating,None,Closed
B_02_057,Hand,AsymmetricalDifferentHandshape,Straight,Closed
K_02_127,Head,SymmetricalOrAlternating,Curved,Open
F_03_83,Hand,AsymmetricalDifferentHandshape,X-shaped,Closed
D_01_081,Neutral,SymmetricalOrAlternating,Straight,Open
C_01_067,Neutral,OneHanded,Straight,Open
H_01_7,Hand,AsymmetricalSameHandshape,Curved,Closed
K_03_028,Neutral,OneHanded,X-shaped,Open
J_01_064,Body,OneHanded,X-shaped,Closed
F_01_16,Head,SymmetricalOrAlternating,Straight,Closed
K_01_124,Neutral,SymmetricalOrAlternating,Straight,Open
B_03_028,Head,SymmetricalOrAlternating,Straight,Closed
K_01_003,Head,SymmetricalOrAlternating,Straight,Closed
K_02_040,Head,SymmetricalOrAlternating,Curved,Closed
K_03_060,Head,OneHanded,None,Open
H_01_51,Hand,AsymmetricalDifferentHandshape,Curved,Open
A_01_010,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_03_51,Body,OneHanded,Circular,Open
J_01_052,Head,OneHanded,Other,Closed
K_01_072,Head,OneHanded,Circular,Closed
H_02_7,Head,SymmetricalOrAlternating,Circular,Open
A_02_025,Neutral,SymmetricalOrAlternating,BackAndForth,Closed
K_02_006,Body,SymmetricalOrAlternating,Curved,Open
K_03_038,Hand,AsymmetricalDifferentHandshape,None,Closed
E_02_46,Neutral,OneHanded,Curved,Closed
F_01_65,Hand,AsymmetricalDifferentHandshape,Curved,Closed
B_03_087,Head,OneHanded,None,Closed
C_01_045,Head,OneHanded,None,Closed
F_01_98,Neutral,OneHanded,Straight,Open
B_02_063,Hand,AsymmetricalDifferentHandshape,Straight,Closed
A_02_034,Hand,AsymmetricalDifferentHandshape,Straight,Closed
E_02_67,Hand,AsymmetricalDifferentHandshape,Curved,Open
E_01_12,Neutral,SymmetricalOrAlternating,Straight,Open
J_03_094,Head,SymmetricalOrAlternating,Curved,Open
C_03_029,Neutral,OneHanded,Straight,Open
G_01_31,Neutral,SymmetricalOrAlternating,Straight,Open
E_02_23,Head,OneHanded,None,Closed
C_01_044,Neutral,OneHanded,Curved,Closed
F_03_38,Head,OneHanded,Curved,Closed
E_03_98,Head,OneHanded,None,Closed
H_01_22,Head,OneHanded,None,Closed
J_02_074,Neutral,SymmetricalOrAlternating,Curved,Open
A_01_076,Neutral,SymmetricalOrAlternating,Curved,Open
B_02_074,Head,OneHanded,None,Closed
D_03_057,Neutral,SymmetricalOrAlternating,Straight,Open
F_01_1,Arm,OneHanded,Other,Open
K_01_073,Neutral,SymmetricalOrAlternating,Other,Open
K_02_030,Neutral,SymmetricalOrAlternating,Circular,Closed
F_03_85,Head,OneHanded,None,Closed
G_03_94,Neutral,SymmetricalOrAlternating,Curved,Closed
C_03_006,Hand,AsymmetricalDifferentHandshape,Straight,Closed
A_03_060,Head,SymmetricalOrAlternating,Straight,Open
G_03_90,Neutral,OneHanded,Curved,Closed
G_02_61,Hand,SymmetryViolation,Other,Closed
E_01_79,Hand,AsymmetricalDifferentHandshape,Straight,Open
J_01_021,Neutral,SymmetricalOrAlternating,Straight,Open
H_03_1,Body,OneHanded,Straight,Open
H_02_9,Neutral,SymmetricalOrAlternating,Circular,Open
B_01_082,Head,OneHanded,Straight,Open
F_02_3,Hand,AsymmetricalDifferentHandshape,Curved,Closed
D_03_080,Hand,SymmetryViolation,Straight,Closed
J_03_031,Neutral,SymmetricalOrAlternating,Curved,Open
H_02_30,Neutral,SymmetricalOrAlternating,None,Open
A_01_014,Head,OneHanded,Straight,Closed
K_03_027,Head,OneHanded,Straight,Closed
D_02_039,Head,SymmetricalOrAlternating,Straight,Open
A_01_086,Body,OneHanded,Curved,Closed
C_02_033,Neutral,SymmetricalOrAlternating,Curved,Open
H_03_76,Neutral,SymmetricalOrAlternating,Straight,Closed
E_02_59,Body,SymmetricalOrAlternating,Straight,Open
F_02_18,Hand,AsymmetricalDifferentHandshape,Straight,Closed
A_03_008,Head,OneHanded,Straight,Closed
J_03_104,Hand,AsymmetricalDifferentHandshape,BackAndForth,Open
F_01_94,Neutral,SymmetricalOrAlternating,Straight,Open
E_03_52,Neutral,SymmetricalOrAlternating,BackAndForth,Open
J_03_092,Hand,AsymmetricalSameHandshape,Straight,Closed
H_01_050,Hand,AsymmetricalDifferentHandshape,Straight,Open
A_01_079,Head,OneHanded,None,Open
K_01_047,Head,SymmetricalOrAlternating,Circular,Open
A_01_066,Hand,AsymmetricalDifferentHandshape,Straight,Open
A_02_002,Body,SymmetricalOrAlternating,None,Open
D_02_036,Neutral,OneHanded,Straight,Closed
F_03_35,Hand,AsymmetricalDifferentHandshape,Curved,Open
D_02_021,Neutral,SymmetricalOrAlternating,Curved,Open
E_03_95,Neutral,SymmetricalOrAlternating,Straight,Closed
J_01_075,Neutral,OneHanded,None,Open
K_02_119,Hand,AsymmetricalDifferentHandshape,Curved,Open
G_02_19,Neutral,SymmetricalOrAlternating,Curved,Open
J_01_003,Neutral,SymmetricalOrAlternating,Straight,Closed
F_02_49,Head,OneHanded,Straight,Open
G_03_44,Head,OneHanded,Straight,Open
J_02_023,Head,OneHanded,Straight,Open
A_01_031,Neutral,OneHanded,Straight,Open
K_03_047,Neutral,OneHanded,Other,Open
J_01_063,Hand,AsymmetricalDifferentHandshape,Curved,Open
K_01_065,Hand,AsymmetricalDifferentHandshape,Curved,Closed
K_02_052,Hand,AsymmetricalDifferentHandshape,Curved,Open
H_01_14,Neutral,SymmetricalOrAlternating,Straight,Open
C_03_026,Head,OneHanded,None,Open
B_02_066,Head,OneHanded,None,Closed
D_01_036,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_03_18,Head,OneHanded,Straight,Closed
H_01_17,Neutral,SymmetricalOrAlternating,Straight,Open
E_03_81,Hand,AsymmetricalDifferentHandshape,Straight,Closed
F_03_6,Head,OneHanded,Straight,Open
D_03_035,Head,OneHanded,None,Open
G_02_102,Hand,AsymmetricalSameHandshape,Curved,Open
E_03_76,Neutral,SymmetricalOrAlternating,Straight,Open
J_03_019,Hand,AsymmetricalDifferentHandshape,Straight,Open
J_03_081,Neutral,SymmetricalOrAlternating,Straight,Open
D_02_029,Hand,AsymmetricalDifferentHandshape,Curved,Closed
E_02_18,Neutral,SymmetricalOrAlternating,Curved,Open
C_01_063,Neutral,SymmetricalOrAlternating,Straight,Open
H_02_102,Head,OneHanded,Circular,Open
E_01_96,Neutral,SymmetricalOrAlternating,None,Open
A_03_020,Arm,OneHanded,Straight,Open
K_03_015,Arm,OneHanded,Straight,Open
H_01_97,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_03_31,Neutral,SymmetricalOrAlternating,Straight,Open
A_01_056,Neutral,OneHanded,None,Open
K_01_055,Body,OneHanded,Straight,Open
J_02_068,Neutral,OneHanded,None,Open
H_02_103,Body,OneHanded,Straight,Open
C_02_049,Head,OneHanded,Straight,Closed
A_03_057,Arm,OneHanded,BackAndForth,Open
K_02_021,Neutral,OneHanded,Other,Open
K_03_032,Neutral,OneHanded,Other,Closed
J_01_087,Neutral,SymmetricalOrAlternating,Straight,Closed
J_01_012,Head,SymmetricalOrAlternating,None,Open
G_03_82,Head,OneHanded,None,Open
J_01_005,Head,OneHanded,Curved,Closed
E_03_49,Head,SymmetricalOrAlternating,None,Open
F_01_33,Body,OneHanded,Straight,Open
B_03_033,Head,OneHanded,None,Closed
H_01_104,Head,OneHanded,Straight,Open
E_02_14,Neutral,SymmetricalOrAlternating,None,Open
F_01_71,Neutral,SymmetricalOrAlternating,Curved,Closed
E_02_48,Neutral,SymmetricalOrAlternating,Curved,Open
A_03_052,Hand,AsymmetricalSameHandshape,Curved,Closed
A_01_059,Head,OneHanded,Curved,Open
H_03_84,Hand,AsymmetricalDifferentHandshape,Curved,Open
B_01_057,Head,OneHanded,None,Closed
G_03_55,Neutral,OneHanded,Straight,Closed
H_03_12,Hand,AsymmetricalSameHandshape,Straight,Closed
C_03_046,Neutral,SymmetricalOrAlternating,Straight,Open
C_01_055,Neutral,SymmetricalOrAlternating,Straight,Open
D_02_058,Neutral,SymmetricalOrAlternating,Straight,Open
K_01_022,Neutral,OneHanded,Straight,Closed
J_02_039,Neutral,SymmetricalOrAlternating,Straight,Open
F_01_11,Head,OneHanded,Straight,Open
D_02_063,Hand,AsymmetricalDifferentHandshape,BackAndForth,Closed
A_01_082,Neutral,SymmetricalOrAlternating,Straight,Open
G_02_69,Head,SymmetricalOrAlternating,Straight,Closed
B_02_044,Head,OneHanded,Straight,Closed
A_03_046,Body,SymmetricalOrAlternating,Curved,Open
J_03_057,Body,SymmetricalOrAlternating,Curved,Open
F_03_75,Neutral,SymmetricalOrAlternating,Straight,Open
K_02_074,Neutral,OneHanded,Straight,Open
D_02_044,Hand,AsymmetricalDifferentHandshape,Straight,Open
B_02_012,Head,OneHanded,Straight,Open
K_03_092,Head,OneHanded,Curved,Open
F_02_102,Neutral,OneHanded,None,Open
E_02_53,Neutral,SymmetricalOrAlternating,Straight,Closed
C_03_052,Neutral,SymmetricalOrAlternating,Straight,Closed
D_01_017,Hand,AsymmetricalDifferentHandshape,BackAndForth,Closed
K_01_093,Hand,AsymmetricalDifferentHandshape,Straight,Closed
K_02_111,Hand,AsymmetricalDifferentHandshape,Straight,Open
K_03_077,Hand,AsymmetricalDifferentHandshape,Other,Closed
K_01_045,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_01_40,Arm,OneHanded,Straight,Closed
A_03_075,Neutral,SymmetricalOrAlternating,Curved,Open
C_03_077,Head,OneHanded,Curved,Open
F_03_5,Head,OneHanded,Straight,Closed
C_01_007,Head,OneHanded,Straight,Closed
D_01_079,Head,OneHanded,None,Open
K_02_068,Head,OneHanded,None,Open
H_03_11,Hand,AsymmetricalDifferentHandshape,Straight,Closed
A_02_028,Head,OneHanded,Straight,Open
H_03_87,Neutral,OneHanded,BackAndForth,Open
H_03_8,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_02_92,Neutral,SymmetricalOrAlternating,Straight,Open
F_02_59,Hand,AsymmetricalSameHandshape,Straight,Open
H_02_76,Neutral,SymmetricalOrAlternating,Circular,Open
D_03_066,Head,OneHanded,Straight,Open
K_03_021,Head,OneHanded,None,Open
D_02_071,Head,OneHanded,Straight,Open
G_01_18,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_03_16,Head,SymmetricalOrAlternating,Straight,Open
C_03_055,Hand,AsymmetricalDifferentHandshape,Curved,Open
C_03_011,Head,SymmetricalOrAlternating,None,Open
E_02_99,Head,SymmetricalOrAlternating,Straight,Closed
C_03_002,Hand,AsymmetricalDifferentHandshape,None,Open
A_03_039,Hand,AsymmetricalDifferentHandshape,None,Open
F_01_44,Hand,AsymmetricalDifferentHandshape,Straight,Closed
D_03_082,Neutral,OneHanded,Straight,Closed
E_03_32,Neutral,SymmetricalOrAlternating,None,Closed
D_01_070,Hand,AsymmetricalSameHandshape,Straight,Open
G_02_73,Hand,AsymmetricalSameHandshape,None,Open
B_02_002,Head,OneHanded,Straight,Open
B_03_082,Head,OneHanded,Straight,Open
F_02_15,Neutral,SymmetricalOrAlternating,Straight,Open
E_03_99,Hand,AsymmetricalSameHandshape,Straight,Open
F_01_68,Neutral,SymmetricalOrAlternating,Straight,Closed
G_02_57,Neutral,SymmetricalOrAlternating,Straight,Open
G_02_44,Hand,AsymmetricalDifferentHandshape,Straight,Open
A_03_011,Neutral,SymmetricalOrAlternating,Curved,Closed
E_01_7,Arm,OneHanded,Circular,Open
D_01_014,Body,OneHanded,Curved,Open
C_02_042,Head,OneHanded,Straight,Closed
J_02_099,Neutral,OneHanded,None,Open
J_01_085,Hand,AsymmetricalSameHandshape,None,Closed
A_02_005,Neutral,SymmetricalOrAlternating,Straight,Closed
K_01_096,Neutral,SymmetricalOrAlternating,BackAndForth,Closed
D_03_042,Body,OneHanded,Curved,Open
J_01_070,Hand,AsymmetricalDifferentHandshape,Circular,Closed
A_02_059,Head,OneHanded,BackAndForth,Open
E_03_72,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_03_36,Hand,AsymmetricalDifferentHandshape,Straight,Closed
K_03_002,Hand,AsymmetricalDifferentHandshape,Straight,Closed
E_01_52,Neutral,OneHanded,None,Open
B_03_083,Hand,AsymmetricalDifferentHandshape,Straight,Closed
C_01_014,Head,SymmetricalOrAlternating,Circular,Open
B_03_005,Body,SymmetricalOrAlternating,Circular,Closed
C_03_005,Body,OneHanded,Curved,Closed
F_03_86,Hand,AsymmetricalDifferentHandshape,None,Open
E_02_72,Hand,AsymmetricalDifferentHandshape,Straight,Open
J_01_077,Neutral,SymmetricalOrAlternating,Curved,Open
E_01_74,Hand,AsymmetricalSameHandshape,Straight,Open
E_02_45,Neutral,SymmetricalOrAlternating,Curved,Closed
G_02_56,Arm,OneHanded,Curved,Closed
B_01_084,Hand,AsymmetricalDifferentHandshape,Circular,Closed
E_01_36,Neutral,SymmetricalOrAlternating,Straight,Open
A_03_014,Neutral,AsymmetricalSameHandshape,None,Open
A_01_011,Hand,AsymmetricalSameHandshape,Straight,Open
D_03_033,Body,SymmetricalOrAlternating,Circular,Open
D_01_084,Hand,AsymmetricalDifferentHandshape,Straight,Open
E_02_76,Hand,AsymmetricalSameHandshape,Curved,Open
D_02_020,Head,OneHanded,Circular,Open
K_02_100,Head,OneHanded,None,Open
K_03_062,Head,SymmetricalOrAlternating,Straight,Open
K_01_041,Neutral,SymmetricalOrAlternating,Straight,Open
K_02_107,Head,OneHanded,None,Open
J_01_022,Hand,AsymmetricalDifferentHandshape,Curved,Closed
C_01_052,Neutral,SymmetricalOrAlternating,Straight,Open
J_03_085,Hand,AsymmetricalDifferentHandshape,Straight,Open
K_03_098,Neutral,OneHanded,Other,Open
K_01_099,Neutral,OneHanded,Other,Open
K_02_042,Neutral,OneHanded,Other,Open
K_03_095,Neutral,OneHanded,Other,Open
C_01_072,Hand,AsymmetricalDifferentHandshape,Straight,Closed
H_03_17,Hand,AsymmetricalDifferentHandshape,Straight,Open
K_01_119,Neutral,SymmetricalOrAlternating,Curved,Open
H_01_33,Neutral,OneHanded,Straight,Closed
F_01_36,Neutral,OneHanded,Straight,Closed
G_01_12,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_03_100,Neutral,SymmetryViolation,Straight,Open
C_02_010,Head,OneHanded,Circular,Closed
A_03_015,Neutral,SymmetricalOrAlternating,Straight,Closed
F_03_57,Neutral,SymmetricalOrAlternating,Straight,Open
D_02_047,Hand,AsymmetricalSameHandshape,Straight,Open
F_03_49,Body,SymmetricalOrAlternating,Curved,Open
J_02_058,Neutral,SymmetryViolation,Straight,Open
H_02_41,Hand,AsymmetricalDifferentHandshape,Straight,Open
E_01_84,Head,OneHanded,Straight,Open
F_03_84,Neutral,SymmetricalOrAlternating,Straight,Open
G_03_103,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_02_24,Hand,AsymmetricalDifferentHandshape,Straight,Closed
H_01_102,Body,SymmetricalOrAlternating,Curved,Open
D_03_052,Hand,AsymmetricalDifferentHandshape,Straight,Open
C_01_084,Body,SymmetricalOrAlternating,Circular,Closed
F_02_68,Head,OneHanded,None,Closed
C_01_064,Hand,AsymmetricalDifferentHandshape,Other,Open
B_02_064,Head,OneHanded,Straight,Open
H_03_2,Neutral,SymmetricalOrAlternating,Circular,Closed
F_02_23,Head,OneHanded,Straight,Open
J_03_099,Neutral,SymmetricalOrAlternating,None,Open
C_02_053,Neutral,SymmetricalOrAlternating,Straight,Open
H_01_53,Neutral,SymmetricalOrAlternating,Straight,Open
J_01_009,Body,SymmetricalOrAlternating,Curved,Closed
H_03_39,Head,SymmetricalOrAlternating,Straight,Open
A_01_012,Head,SymmetricalOrAlternating,Straight,Open
C_01_062,Head,OneHanded,Curved,Closed
G_01_41,Head,SymmetricalOrAlternating,Straight,Open
E_01_53,Head,OneHanded,Circular,Closed
J_02_061,Body,OneHanded,Straight,Open
J_02_053,Neutral,SymmetricalOrAlternating,Straight,Open
H_01_77,Hand,AsymmetricalSameHandshape,Straight,Open
G_03_46,Head,OneHanded,None,Closed
G_01_80,Neutral,SymmetricalOrAlternating,Straight,Open
G_03_80,Head,OneHanded,Curved,Closed
B_03_074,Arm,OneHanded,Straight,Closed
C_03_007,Neutral,OneHanded,Curved,Closed
E_03_6,Head,SymmetricalOrAlternating,Curved,Open
C_01_025,Neutral,SymmetricalOrAlternating,Curved,Open
E_03_85,Head,SymmetricalOrAlternating,Straight,Closed
F_03_55,Hand,AsymmetricalDifferentHandshape,None,Open
J_01_045,Head,SymmetricalOrAlternating,Circular,Open
D_03_007,Hand,AsymmetricalSameHandshape,Curved,Open
B_01_086,Head,OneHanded,Straight,Open
E_01_87,Head,SymmetricalOrAlternating,Straight,Open
J_01_010,Neutral,SymmetricalOrAlternating,Curved,Open
C_03_016,Neutral,SymmetricalOrAlternating,Straight,Open
C_01_011,Neutral,SymmetricalOrAlternating,Curved,Open
B_01_077,Head,OneHanded,Straight,Open
D_01_065,Neutral,SymmetricalOrAlternating,None,Open
C_01_051,Body,OneHanded,Curved,Open
B_01_024,Head,OneHanded,Straight,Open
G_02_46,Arm,OneHanded,Curved,Closed
D_01_093,Neutral,OneHanded,None,Open
E_01_47,Head,OneHanded,Straight,Closed
G_03_58,Head,OneHanded,None,Open
K_02_035,Neutral,OneHanded,Other,Open
J_01_002,Neutral,SymmetricalOrAlternating,Straight,Open
C_02_001,Body,OneHanded,Curved,Open
G_01_6,Neutral,SymmetricalOrAlternating,Straight,Closed
K_03_037,Neutral,SymmetricalOrAlternating,Straight,Closed
F_01_83,Neutral,OneHanded,Other,Open
C_02_067,Neutral,OneHanded,None,Open
F_03_34,Hand,AsymmetricalDifferentHandshape,Circular,Open
J_03_046,Neutral,OneHanded,None,Open
B_03_058,Neutral,SymmetricalOrAlternating,Curved,Closed
C_01_016,Neutral,SymmetricalOrAlternating,Straight,Open
J_03_102,Hand,AsymmetricalDifferentHandshape,Other,Open
K_01_038,Neutral,SymmetricalOrAlternating,Circular,Open
K_02_036,Neutral,OneHanded,Other,Open
H_01_99,Hand,AsymmetricalDifferentHandshape,Straight,Open
B_01_037,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_01_59,Neutral,SymmetricalOrAlternating,Straight,Open
D_01_012,Head,SymmetricalOrAlternating,Circular,Closed
F_02_47,Hand,AsymmetricalDifferentHandshape,Straight,Open
B_03_076,Neutral,OneHanded,Straight,Open
C_01_043,Body,OneHanded,Straight,Open
D_02_067,Body,OneHanded,Straight,Open
G_02_97,Neutral,OneHanded,None,Closed
J_01_006,Neutral,SymmetricalOrAlternating,None,Closed
B_01_048,Neutral,OneHanded,Straight,Open
B_03_065,Neutral,OneHanded,Circular,Open
B_03_025,Neutral,SymmetricalOrAlternating,None,Open
E_03_58,Neutral,SymmetricalOrAlternating,Straight,Open
B_03_090,Neutral,SymmetricalOrAlternating,Circular,Open
J_03_058,Hand,AsymmetricalDifferentHandshape,Curved,Open
A_02_039,Head,OneHanded,Straight,Closed
K_03_052,Head,OneHanded,Straight,Open
F_02_101,Head,OneHanded,Straight,Closed
C_01_033,Neutral,OneHanded,None,Closed
A_03_040,Hand,AsymmetricalSameHandshape,None,Open
A_02_035,Neutral,SymmetryViolation,Straight,Open
K_01_050,Neutral,AsymmetricalDifferentHandshape,Circular,Open
E_02_7,Neutral,SymmetricalOrAlternating,Straight,Open
G_03_43,Neutral,SymmetricalOrAlternating,Straight,Open
B_01_036,Neutral,OneHanded,Straight,Open
G_02_92,Neutral,OneHanded,Straight,Open
A_03_084,Head,OneHanded,None,Open
K_02_099,Neutral,OneHanded,None,Open
K_03_030,Neutral,OneHanded,Curved,Open
K_01_057,Head,OneHanded,None,Open
K_02_092,Neutral,OneHanded,Other,Open
H_02_88,Neutral,OneHanded,Curved,Closed
E_01_66,Neutral,OneHanded,Straight,Open
F_03_77,Hand,AsymmetricalDifferentHandshape,Straight,Closed
E_03_43,Neutral,OneHanded,BackAndForth,Open
K_03_007,Arm,OneHanded,Other,Closed
K_01_082,Arm,OneHanded,Other,Open
D_01_062,Neutral,SymmetricalOrAlternating,Straight,Open
A_03_017,Head,OneHanded,Curved,Open
E_02_36,Head,SymmetricalOrAlternating,None,Open
D_03_070,Body,SymmetricalOrAlternating,Straight,Open
J_03_056,Head,SymmetricalOrAlternating,Straight,Open
F_02_19,Neutral,SymmetricalOrAlternating,Curved,Open
K_02_072,Neutral,AsymmetricalSameHandshape,Curved,Open
G_01_58,Neutral,SymmetricalOrAlternating,Straight,Open
H_03_29,Neutral,SymmetricalOrAlternating,Straight,Closed
K_01_113,Neutral,AsymmetricalDifferentHandshape,Other,Closed
K_03_016,Neutral,SymmetricalOrAlternating,Other,Closed
J_01_079,Head,OneHanded,Curved,Open
J_02_102,Hand,AsymmetricalDifferentHandshape,Straight,Open
A_02_027,Neutral,SymmetricalOrAlternating,Straight,Open
B_03_049,Head,OneHanded,Curved,Closed
D_03_089,Hand,AsymmetricalDifferentHandshape,BackAndForth,Open
C_01_077,Arm,OneHanded,Circular,Open
C_03_067,Arm,OneHanded,Circular,Open
G_01_38,Neutral,OneHanded,Curved,Open
D_03_072,Head,OneHanded,None,Closed
E_02_25,Head,OneHanded,Straight,Open
D_02_038,Neutral,OneHanded,Curved,Open
D_02_017,Head,OneHanded,Straight,Open
E_01_49,Hand,AsymmetricalDifferentHandshape,Straight,Closed
K_02_050,Hand,AsymmetricalDifferentHandshape,None,Closed
K_03_003,Hand,AsymmetricalDifferentHandshape,None,Closed
K_01_027,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_03_23,Neutral,SymmetricalOrAlternating,BackAndForth,Open
J_02_066,Body,OneHanded,Circular,Open
J_01_049,Head,OneHanded,Straight,Closed
C_01_029,Neutral,OneHanded,Straight,Closed
H_03_4,Neutral,OneHanded,None,Closed
A_03_041,Head,OneHanded,Curved,Open
F_02_24,Hand,AsymmetricalDifferentHandshape,Curved,Open
G_02_34,Neutral,SymmetricalOrAlternating,BackAndForth,Open
D_02_078,Neutral,OneHanded,Curved,Open
D_02_070,Body,OneHanded,BackAndForth,Closed
G_02_9,Head,OneHanded,None,Closed
B_01_083,Head,SymmetricalOrAlternating,Other,Open
G_01_27,Neutral,SymmetricalOrAlternating,Curved,Open
E_02_1,Neutral,SymmetricalOrAlternating,Curved,Closed
B_03_001,Neutral,SymmetricalOrAlternating,Straight,Open
F_03_10,Neutral,SymmetricalOrAlternating,Straight,Open
C_02_022,Neutral,OneHanded,Curved,Open
A_01_085,Neutral,OneHanded,Curved,Open
B_02_020,Neutral,OneHanded,Circular,Open
D_03_010,Neutral,SymmetricalOrAlternating,Straight,Closed
C_02_031,Head,SymmetricalOrAlternating,Straight,Open
J_03_034,Neutral,OneHanded,Straight,Closed
K_02_070,Neutral,SymmetricalOrAlternating,Other,Open
D_03_059,Head,OneHanded,Straight,Open
D_01_059,Hand,AsymmetricalDifferentHandshape,Curved,Closed
H_02_40,Hand,AsymmetricalSameHandshape,Curved,Open
C_01_039,Head,OneHanded,Straight,Open
F_02_57,Head,OneHanded,Straight,Open
K_03_115,Head,SymmetricalOrAlternating,Curved,Closed
C_02_083,Head,OneHanded,None,Open
C_02_050,Head,OneHanded,Straight,Closed
H_01_69,Hand,AsymmetricalSameHandshape,None,Open
D_02_048,Hand,AsymmetricalDifferentHandshape,Straight,Open
E_02_57,Head,OneHanded,None,Closed
J_02_071,Hand,AsymmetricalDifferentHandshape,BackAndForth,Open
E_03_38,Head,OneHanded,None,Closed
C_02_059,Neutral,OneHanded,Straight,Open
C_03_080,Head,OneHanded,Curved,Open
K_02_123,Hand,AsymmetricalDifferentHandshape,Circular,Open
B_02_010,Head,OneHanded,Straight,Open
F_01_51,Neutral,OneHanded,Straight,Closed
C_03_047,Neutral,SymmetricalOrAlternating,Straight,Open
A_03_022,Hand,AsymmetricalDifferentHandshape,Straight,Open
G_02_28,Head,OneHanded,Straight,Open
A_03_090,Hand,AsymmetricalDifferentHandshape,Straight,Open
E_03_64,Hand,AsymmetricalSameHandshape,Curved,Closed
E_02_73,Hand,AsymmetricalSameHandshape,Curved,Closed
